Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 126.0.0.0,,,10-07-2024 09:43:19,10-07-2024 09:43:37,18.395s,PASSED
,,,,,,,
Test Cases/Login/LoginGagal,Chrome 126.0.0.0,,,10-07-2024 09:43:19,10-07-2024 09:43:27,8.009s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,10-07-2024 09:43:19,10-07-2024 09:43:21,1.233s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 126.0.0.0,,,10-07-2024 09:43:21,10-07-2024 09:43:25,4.273s,PASSED
"switchToWindowTitle(""OrangeHRM"")",Chrome 126.0.0.0,,,10-07-2024 09:43:25,10-07-2024 09:43:25,0.024s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,10-07-2024 09:43:25,10-07-2024 09:43:25,0.046s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 126.0.0.0,,,10-07-2024 09:43:25,10-07-2024 09:43:26,1.073s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""RAIVpflpDOg="")",Chrome 126.0.0.0,,,10-07-2024 09:43:26,10-07-2024 09:43:26,0.313s,PASSED
"verifyElementPresent(findTestObject(""Page_OrangeHRM/div_Invalid credentials""), 0)",Chrome 126.0.0.0,,,10-07-2024 09:43:26,10-07-2024 09:43:27,0.275s,PASSED
takeScreenshot(),Chrome 126.0.0.0,,,10-07-2024 09:43:27,10-07-2024 09:43:27,0.377s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,10-07-2024 09:43:27,10-07-2024 09:43:27,0.188s,PASSED
,,,,,,,
Test Cases/Login/LoginSukses,Chrome 126.0.0.0,,,10-07-2024 09:43:27,10-07-2024 09:43:37,10.281s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,10-07-2024 09:43:27,10-07-2024 09:43:28,0.549s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 126.0.0.0,,,10-07-2024 09:43:28,10-07-2024 09:43:32,4.265s,PASSED
"switchToWindowTitle(""OrangeHRM"")",Chrome 126.0.0.0,,,10-07-2024 09:43:32,10-07-2024 09:43:32,0.010s,PASSED
maximizeWindow(),Chrome 126.0.0.0,,,10-07-2024 09:43:32,10-07-2024 09:43:32,0.026s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 126.0.0.0,,,10-07-2024 09:43:32,10-07-2024 09:43:33,1.103s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 126.0.0.0,,,10-07-2024 09:43:33,10-07-2024 09:43:33,0.292s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Chrome 126.0.0.0,,,10-07-2024 09:43:33,10-07-2024 09:43:34,0.314s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OrangeHRM/h6_Dashboard""), ""Dashboard"")",Chrome 126.0.0.0,,,10-07-2024 09:43:34,10-07-2024 09:43:37,3.137s,PASSED
takeScreenshot(),Chrome 126.0.0.0,,,10-07-2024 09:43:37,10-07-2024 09:43:37,0.374s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,10-07-2024 09:43:37,10-07-2024 09:43:37,0.161s,PASSED
